,会社名,仕事内容,勤務地,給与
50,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,《完全週休2日制＆残業少なめ》お客様との打ち合わせ～図面作成、引き渡しまで、注文住宅の設計をお任せします。★案件はフルオーダーメイド！,全国(宮城、福島、茨城、栃木、群馬、埼玉、千葉、東京、神奈川、新潟、山梨、長野、岐阜、静岡、愛知、…,350万円～750万円
51,株式会社ビッグモーター | 業界No.1安定企業/月8～10日休み/賞与年2回/年収800万円以上可能,【１台修理するごとにインセンティブあり！】定期点検や車検、各種修理対応をおこなう整備士として活躍を！,★転勤なし/UIターン歓迎/マイカー通勤OK ★勤務地は希望を最大限考慮 下記エリアの整備工場併設…,300万円～1000万円
52,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,これまで物流管理と配送・設置は別々に担当してきましたが、本ポジションでは、すべてを網羅する【物流のプロフェッショナル】として育成します。,◆物流の拠点「ヨドバシカメラ アッセンブリーセンター川崎」「ヨドバシカメラ 六甲アッセンブリーセン…,300万円～500万円
53,株式会社PGSホーム | 12月には久留米支店が新たに出店！さらに続々と出店を予定！,【月給40万円保証＋歩合スタート(規定あり)！】◎自社オリジナル塗料(光触媒コーティング)の住宅ペイントや太陽光発電システムの提案を行います。,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円
54,株式会社PGSホーム | 業績絶好調で12月には久留米支店が新規出店！さらに出店を予定！,【残業ほぼ無しで月給40万円スタート】◎希望や適性を考慮してアポインター営業(外勤or内勤)をお任せ。興味のあるお客様を探すリサーチの仕事です。,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円
55,東建コーポレーション株式会社 | 土地活用でおなじみの東建です。完全週休2日制で年間休日123日！,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円
56,アフラック保険サービス株式会社 | ★賞与年4回＋インセンティブあり★年休126日以上,＜入社～1年間の手厚い研修・フォロー体制あり＞●保険の見直しや新規契約を考えるお客様1人1人に合った保障をオーダーメイドで提案する仕事です。,★転勤なし！ ★U・Iターン歓迎！ 東京、神奈川、愛知、京都、大阪、広島、福岡、宮城の各事業所 【…,月給25万円〜30万円＋インセンティブ+賞与（年4回） ※前職の経験・能力を考慮の上、当社規程により決定…
57,DSP株式会社 | 初年度年収450万円以上可/年休125日~130日/産休育休制度(実績有),研修後【営業・広報・人事・総務・経理など】いずれかにてお仕事スタート!★やりたいことを一緒に見つけていきましょう☆,★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…,400万円～1000万円
58,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,【高率インセンティブ＋随時昇給で“年収1000万円以上”も実現可能です！】◆一般のお客様へKDDIの高速通信サービスをご案内します。◆成約率80％以上,★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆渋谷本社…,500万円～1000万円
59,ケイアイスター不動産株式会社 | 【東証一部上場】※男女共に育休取得実績多数！復職率約100％！,＜★年齢や経験問わず、スピーディーに成長＆キャリアUPできる↑＞ 分譲住宅の購入を検討しているお客様に最適な住まいの提案等を行うお仕事です。,★各営業所（埼玉・茨城・栃木・群馬）に配属となります。 ★マイカー通勤OK！駐車場も完備しています…,400万円～700万円
60,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,【 教育体制に自信あり!! 】◆企業やお店へ、通信・OA機器や防犯セキュリティシステム、LED照明などのご提案をお任せします。,希望を考慮し、適性により配属決定 東京都港区/新宿区/品川区/豊島区/町田市/立川市/横浜市 さい…,350万円～1000万円
61,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【残業ほぼナシ／月8～10日休み】ご来店されたお客様のご案内やパソコン入力、電話対応などをお任せ。事務も接客もほど良く楽しめます♪,☆転勤なし/全国に勤務地あり/勤務地は希望考慮/マイカー通勤OK ■宮城県名取市 ■東京都多摩市な…,300万円～550万円
62,株式会社エヌ事業hoop | ★土日祝休み★必要なのはやる気だけ！あなたの成長を応援します,【景気に左右されない安定した業界！】ハウスメーカーや不動産企業などへの法人営業をご担当いただきます【ほぼ定時退社でオフも充実！メリハリ◎】,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,400万円～600万円
63,KUROFUNE＆PARTNERS株式会社 | 年収1000万超も可能！設立期メンバーとして早期キャリアUPできる,ブランド品の査定・買取を行う営業をお任せします。★完全反響だから提案に専念できる！★未経験でもプロになれる安心のスタートアップとフォローあり,◎全営業所車通勤OK！ ◎交通費支給！◎転勤なし！ ■岡山営業所＊2020年10月新規オープン＊…,480万円～700万円
64,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,【キッチン・洗面台等の上水道関連が多数】水回りのトラブルを抱えるお客様をレスキュー！★『水の学校』で基礎から学べるからスタートアップも安心！,★希望勤務地へ配属！ ★品川/難波/名古屋/新小岩/八王子/神戸/福岡のいずれかで勤務！ 【品川本…,450万円～550万円
65,株式会社ライジングサンセキュリティーサービス | 【★未経験歓迎★入社祝金3万円あり】★面接1回,【危険な業務は一切なし！】＊埼玉・浦和美園の大型ショッピングセンターに常駐し、施設全体やお客様の安全を守ってください＊交通誘導もあります！,◆川口市または浦和美園駅近くの大型商業施設 ◆埼玉県内の各現場 ※直行直帰となります！ —★I／U…,300万円～600万円
66,"株式会社ビッグモーター | No.1企業の安定性◆月給23万9,800円~☆残業ほぼなし☆土日休み可",【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪ ■宮城県…,300万円～550万円
67,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中】★月給最大40万円も可能！,【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,300万円～500万円
68,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【研修充実★未経験から着実に成長】法人クライアントを対象に、スマートフォンやタブレットをはじめとした『ソフトバンク商材』の提案営業をお任せ！,【全国25都道府県の販売代理店】 ★希望のエリアで働ける！ ★転勤なし！ ★U・Iターン歓迎！ 《…,"【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
69,DSP株式会社 | 入社半年で月収100万円以上の社員多数！★年間休日125日～130日,【反響営業だから成果を出しやすい！】お問い合わせをいただいたお客さまにアニメやスポーツといったテレビ番組のご案内。※産休育休も完備(実績あり),【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…,400万円～1000万円
70,株式会社E-reason | ★IDDグループ★残業ほぼなし★完全週休2日制★ドコモと業務提携,《プレイングマネージャーとしての活躍に期待》NTTドコモ携帯への乗換えの案内をする仕事です。売上の構築と共に、スタッフマネジメントもお任せ♪,★☆転勤なし☆★ 【本社】東京都豊島区池袋2-66-2 小林ビル2階 ※駅近オフィス♪ ※営業は社…,350万円～720万円
71,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【研修充実★未経験から着実に成長】法人クライアントを対象に、スマートフォンやタブレットをはじめとした『ソフトバンク商材』の提案営業をお任せ！,【全国25都道府県の販売代理店】 ★希望のエリアで働ける！ ★転勤なし！ ★U・Iターン歓迎！ 《…,"【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
72,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定,UIターン歓迎！遠方からのご応募もOK！ ※転勤なし！ ※説明会実施中 本社／京都府京都市南区西九…,月給20万円（当社規定による） （未経験者は入社後半年間、月給20万円を保証） ※一定額を上回る運送収入…
73,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,◎営業／ノルマなし・ご案内業務が中心！成約時にはインセンティブを支給します　★社宅完備！U・Iターン希望者も歓迎します！,福岡、北九州、飯塚、熊本、鹿児島のいずれか勤務地 ★転勤なし ★初回の配属は原則本社（福岡市）にな…,500万円～2000万円
74,エムケイホールディングス株式会社 | 【大阪府緊急雇用対策に賛同】70歳まで同じ給与体系,【内定まで最短1週間！スピーディーに入社可能】高級ハイヤーでの観光案内や送迎 ★お客様は予約中心だから、業界トップクラスの高収入が叶う！,【勤務地は100%希望制】 ※転勤なし ※京都・滋賀・愛知・北海道内のいずれかの営業所 ※マイカー…,400万円～700万円
